familyid | genusid | latinname | namezh | lowertaxa
10638 | 110136 | Dienia | 无耳沼兰属 | 2
10638 | 110161 | Diglyphosa | 密花兰属 | 1
10638 | 110336 | Diphylax | 尖药兰属 | 3
10638 | 202395 | Diplandrorchis | 双蕊兰属 | 1
10638 | 110430 | Diplomeris | 合柱兰属 | 2
10638 | 110452 | Diploprora | 蛇舌兰属 | 1
10638 | 110615 | Disperis | 双袋兰属 | 1
10638 | 200364 | Dithrix |   | 1
10638 | 110832 | Doritis | 五唇兰属 | 1
10638 | 111832 | Epigeneium | 厚唇兰属 | 11
10638 | 111851 | Epipactis | 火烧兰属 | 12
10638 | 111863 | Epipogium | 虎舌兰属 | 3
10638 | 111973 | Eria | 毛兰属 | 7
10638 | 112038 | Eriodes | 毛梗兰属 | 1
10638 | 112165 | Erythrodes | 钳唇兰属 | 3
10638 | 112178 | Erythrorchis | 倒吊兰属 | 1
10638 | 112207 | Esmeralda | 花蜘蛛兰属 | 2
10638 | 112324 | Eulophia | 美冠兰属 | 15
10638 | 112872 | Flickingeria | 金石斛属 | 9
10638 | 135436 | Frigidorchis | 冷兰属 | 1
10638 | 113161 | Galearis | 盔花兰属 | 5
10638 | 113169 | Galeola | 山珊瑚属 | 4
10638 | 113301 | Gastrochilus | 盆距兰属 | 30
10638 | 113305 | Gastrodia | 天麻属 | 18
10638 | 113447 | Geodorum | 地宝兰属 | 6
10638 | 113928 | Goodyera | 斑叶兰属 | 30
10638 | 114107 | Grosourdya | 火炬兰属 | 1
10638 | 114226 | Gymnadenia | 手参属 | 7
10638 | 114408 | Habenaria | 玉凤花属 | 57
10638 | 114563 | Hancockia | 滇兰属 | 1
10638 | 114656 | Haraella | 香兰属 | 1
10638 | 115052 | Hemipilia | 舌喙兰属 | 8
10638 | 135438 | Hemipiliopsis | 紫斑兰属 | 1
10638 | 115173 | Herminium | 角盘兰属 | 18
10638 | 115196 | Herpysma | 爬兰属 | 1
10638 | 115256 | Hetaeria | 翻唇兰属 | 6
10638 | 115584 | Holcoglossum | 槽舌兰属 | 12
10638 | 115630 | Holopogon | 无喙兰属 | 2
10638 | 116035 | Hygrochilus | 湿唇兰属 | 1
10638 | 116068 | Hylophila | 袋唇兰属 | 1
10638 | 116541 | Ischnogyne | 瘦房兰属 | 1
10638 | 117316 | Kuhlhasseltia | 旗唇兰属 | 1
10638 | 117802 | Lecanorchis | 盂兰属 | 5
10638 | 200419 | Lesliea |   | 1
10638 | 118682 | Liparis | 羊耳蒜属 | 68
10638 | 119058 | Ludisia | 血叶兰属 | 1
10638 | 119086 | Luisia | 钗子股属 | 11
10638 | 119529 | Malaxis | 原沼兰属 | 2
10638 | 119542 | Malleola | 槌柱兰属 | 1
10638 | 120597 | Micropera | 小囊兰属 | 1
10638 | 120673 | Microtatorchis | 拟蜘蛛兰属 | 1
10638 | 120684 | Microtis | 葱叶兰属 | 1
10638 | 121064 | Monomeria | 短瓣兰属 | 2
10638 | 121374 | Mycaranthes | 拟毛兰属 | 2
10638 | 121492 | Myrmechis | 全唇兰属 | 5
10638 | 121944 | Neofinetia | 风兰属 | 3
10638 | 121961 | Neogyna | 新型兰属 | 1
10638 | 122112 | Neottia | 鸟巢兰属 | 37
10638 | 122113 | Neottianthe | 兜被兰属 | 9
10638 | 122139 | Nephelaphyllum | 云叶兰属 | 1
10638 | 122179 | Nervilia | 芋兰属 | 10
10638 | 122248 | Neuwiedia | 三蕊兰属 | 2
10638 | 200454 | Nothodoritis | 象鼻兰属 | 1
10638 | 122553 | Oberonia | 鸢尾兰属 | 36
10638 | 135433 | Oberonioides | 小沼兰属 | 1
10638 | 122672 | Odontochilus | 齿唇兰属 | 11
10638 | 123078 | Orchis | 红门兰属 | 1
10638 | 123134 | Oreorchis | 山兰属 | 11
10638 | 123197 | Ornithochilus | 羽唇兰属 | 2
10638 | 123407 | Otochilus | 耳唇兰属 | 4
10638 | 123530 | Oxystophyllum | 拟石斛属 | 1
